Sentence	Slot
Am 24. Juli 1998 stürmte Russell Eugene Weston Jr . in das Kapitol und eröffnete das Feuer auf die Anwesenden .	O O O O O B-PER I-PER I-PER I-PER I-PER O O B-LOC O O O O O O O O
"Seit 1996 wird in den USA jeweils am 16. April der "" Tag der Pekannuss "" ( "" National Pecan Day "" ) begangen ."	O O O O O B-LOC O O O O O O O O O O O O O O O O O O O
Er erhält Berufsverbot als Künstler , da seine Kunst als „ entartet “ gebrandmarkt wird .	O O O O O O O O O O O O O O O O
Die Pupille ist schwärzlich mit einem schmalen rosafarbenen Rand .	O O O O O O O O O O
Wollen Sie Botschafter sein für eine athletischere Ausübung der Sportart ?	O O O O O O O O O O O
Ebenso lehnt er jede Unmittelbarkeit mystischer oder religiöser Art ab .	O O O O O O O O O O O
Hans Julius Schneider in : Kultur , Handlung , Wissenschaft .	B-PER I-PER I-PER O O B-OTH I-OTH I-OTH I-OTH I-OTH O
Aber Morris webt die Feier in ihren Bilderteppich so ein , dass sie nicht größer in Erinnerung bleibt als andere Eindrücke .	O B-PER O O O O O O O O O O O O O O O O O O O O
In ruhigen , manöverfreien Zeiten war für die Reiter am Samstagmittag gegen 12 Uhr Dienstschluss .	O O O O O O O O O O O O O O O O
Nach Eingliederung des letzten größeren Ersatzes betrug am 1. Oktober 1917 die Verpflegungsstärke 90 Offiziere , 421 Unteroffiziere und 2.441 Mannschaften .	O O O O O O O O O O O O O O O O O O O O O O
Oh Eun-Sun sagt von sich selbst , dass ihr Abenteuer- und Erforschungsdrang bereits in den Genen festgeschrieben sei und bezeichnet Genghis Khan als ihr Idol .	B-PER I-PER O O O O O O O O O O O O O O O O O O B-PER I-PER O O O O
Ab 1717 wurde in Braunschweig der Graue Hof zu einem repräsentativen Schloss umgebaut .	O O O O B-LOC O B-LOC I-LOC O O O O O O
"Francesco Caroli galt als der "" berühmteste Weißclown der Welt "" ."	B-PER I-PER O O O O O O O O O O
Mönchengladbach * Die Hindenburgstraße ist eine bekannte Einkaufsstraße und führt hoch auf den * Alten Markt , ein regional bekanntes Kneipenviertel .	B-LOC O O B-LOC O O O O O O O O O O B-LOC I-LOC O O O O O O
Der Konsumgüterkonzern hatte Gillette im Herbst vergangenen Jahres für 57 Mrd . Dollar übernommen .	O O O B-ORG O O O O O O O O B-OTH O O
Sarney hatte mit enormen Auslandsschulden , Hyperinflation und Korruption zu kämpfen , was er mit dem „ Plano Cruzado “ zuerst recht erfolgreich versuchte .	B-PER O O O O O O O O O O O O O O O O B-OTH I-OTH O O O O O O
Jeder London Borough ist darüber hinaus eine Local Education Authority .	O B-LOC O O O O O O O O O
Sie gehört der russischen Schwarzmeerflotte an .	O O O B-LOCderiv B-LOCpart O O
Haben Sie manchmal moralische Bedenken was Ihr Gehalt angeht ?	O O O O O O O O O O
Touristen auf Mountainbikes hingegen sind noch immer eine seltene Attraktion .	O O O O O O O O O O O
Derweil nimmt die Gewalt gegen Oppositionelle zu .	O O O O O O O O
Es folgten sechs weitere Auftritte im Winter 1997/1998 , bevor Erno Vuorinen und Jukka Nevalainen anfingen , ihren Militärdienst zu leisten .	O O O O O O O O O O B-PER I-PER O B-PER I-PER O O O O O O O
Für die kommende Nacht sicherten sie deshalb ihr Camp weiträumiger ab .	O O O O O O O O O O O O
Wissenschaftler um Ian Farnan von der britischen University of Cambridge haben allerdings im Experiment herausgefunden , dass die erwartete Haltbarkeit des Zirkons gegen Plutonium 239 eher 210 Jahre beträgt .	O O B-PER I-PER O O B-LOCderiv B-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O O O O
Beschlossen sei der Bau eines Veyron Targa bislang nämlich nicht .	O O O O O B-OTH I-OTH O O O O
In Garten , Stall und Scheune geht's weiter mit Unrat und Gestank .	O O O O O O O O O O O O O
Denn je höher der Weltmarktpreis ist , desto geringer wird der Mengenzoll .	O O O O O O O O O O O O O
Handlung Völlig unvorbereitet werden Janna-Berta und alle anderen Schüler und Lehrer in der Schule von einem Katastrophenalarm überrascht , der wegen eines schwerwiegenden Reaktorunfalls im Kernkraftwerk Grafenrheinfeld ausgelöst wurde .	O O O O B-PER O O O O O O O O O O O O O O O O O O O O O B-LOC O O O
Erst nach der Zerstörung des Allerheiligenklosters in Freiburg 1678 kehrten die Chorherren nach St . Märgen zurück .	O O O O O B-LOCpart O B-LOC O O O O O B-LOC I-LOC I-LOC O O
Sie sind der relativen Straftheorie zuzuordnen .	O O O O O O O
Und wir müssen in internationalen Verhandlungen andere Länder davon überzeugen , diesen Weg mitzugehen .	O O O O O O O O O O O O O O O
Seine Werke Al-Mutanabbī als Dichter gehört in die Endphase der frühabbasidischen Hofdichtung und zählt neben al-Buhturī und Abū Tammām zu den „ Neoklassikern “ , die sich an den poetischen Traditionen orientierten .	O O B-PER O O O O O O O O O O O O B-PER O B-PER I-PER O O O B-OTHderiv O O O O O O O O O O
Rastplatz Seenblick Burgwallinsel Bei Fergitz ( Westufer ) und Warnitz ( Ostufer ) im Oberuckersee befindet sich die Burgwallinsel , auf der um 1100 ein slawisch -feudales Burg- und Siedlungszentrum entstanden ist .	O O B-LOC O B-LOC O O O O B-LOC O O O O B-LOC O O O B-LOC O O O O O O B-OTH O O O O O O O
Jetzt muss man nur noch auf die Post-Blatter Aera warten .	O O O O O O O B-PERpart O O O
Es wurde 1748/49 im Auftrag von Johann Jakob Frölich erbaut , der als Privatsekretär von Lord Sandwich zu Reichtum gelangt war .	O O O O O O B-PER I-PER I-PER O O O O O O O B-PER O O O O O
Die inhaltliche Gestaltung von gemeinsamen Lehrplänen für alle Schulformen führte zu den heftig diskutierten Rahmenplänen .	O O O O O O O O O O O O O O O O
Währenddessen verlangt Kirtikar als Belohnung für seine Dienste eine ihm versprochene Provinz von Sohats Reich .	O O B-PER O O O O O O O O O O B-PER O O
Die Eins kommt weg , die Sechs - und alle anderen Zensuren auch .	O O O O O O O O O O O O O O
Der Präsident wies auf Ergebnisse der jüngsten Volkszählung hin , wonach in dem Karibikland weniger als fünf Prozent aller Landbesitzer mehr als 80 Prozent der Gesamtagrarfläche gehören .	O O O O O O O O O O O O O B-LOCpart O O O O O O O O O O O O O O
Der Hauptzweck dieser Kolonien war , aus britischer Sicht , die Vorbereitung von Angriffen auf fremde Kolonien .	O O O O O O O B-LOCderiv O O O O O O O O O O
Grund dafür sind Sanierungsarbeiten der Deutschen Bahn an Gleisen und Weichen am Weimarer Hauptbahnhof und dem Eisenbahnknoten Großheringen .	O O O O O B-ORG I-ORG O O O O O B-LOC I-LOC O O O B-LOC O
Da trat zum Beispiel dieser Knuddeltyp in Erscheinung - Berlino .	O O O O O O O O O B-PER O
An der Bushaltestelle Waldmannsweg stieg er vom Rad und zeigte sich der Frau mit geöffneter Hose .	O O O B-LOC O O O O O O O O O O O O O
1985 konnte Teleclub in der Schweiz 40'000 Abonnenten gewinnen .	O O B-ORG O O B-LOC O O O O
Ingrid Decker von der Verwaltung verkündete insgesamt 73 Veranstaltungen , an denen 470 Kinder teilgenommen hatten .	B-PER I-PER O O O O O O O O O O O O O O O
Die Backtheke sei zwar das Zugpferd des Dorfladens , produziere aber auch jede Menge Kosten .	O O O O O O O O O O O O O O O O
Alt-X-Gründer Mark Amerika erkundet die Formen , Aussichten und Probleme der Netzkunst . aus der Geschichte lernen und solche Praktiken nicht tolerieren .	B-ORGpart B-PER I-PER O O O O O O O O O O O O O O O O O O O O
Die steile Golfkarriere der jungen Schülerin begann vor sechs Jahren beim GC Düren .	O O O O O O O O O O O B-ORG I-ORG O
Im Januar 2006 fiel Scharon in ein Dauerkoma und seine Nachfolger verstanden es nicht , den Abzug aus Gaza zur Förderung eines Friedens zu nutzen .	O O O O B-PER O O O O O O O O O O O O O B-LOC O O O O O O O
Manche wurden so gebaut , dass sie europäischen Schlössern gleichen .	O O O O O O O B-LOCderiv O O O
Die Nachbarorte sind Sparks , Cecil und Lenox .	O O O B-LOC O B-LOC O B-LOC O
Die Königinnen streifen ihre Flügel an vorhandenen Sollbruchstellen ab und kehren in ihr Nest zurück .	O O O O O O O O O O O O O O O O
Sogar sein zwölfköpfiger Hofstaat ist schon perfekt .	O O O O O O O O
Man könne aber nicht immer alle Anregungen und Wünsche erfüllen .	O O O O O O O O O O O
"Doch mitten im Südpazifik herrscht Leere am Meeresboden - die Forscher an Bord der "" Melville "" waren perplex ."	O O O B-LOC O O O O O O O O O O O B-OTH O O O O
Wie gefährlich ist Nordkorea ?	O O O B-LOC O
Das Laden des Akkus hat in eingeschaltetem Zustand rund zwei Stunden gedauert .	O O O O O O O O O O O O O
Der Übergang war Mitte Dezember nach einem Selbstmordanschlag auf einen israelischen Wachposten geschlossen worden .	O O O O O O O O O O B-LOCderiv O O O O
"Bayern würden unter den Teppich gekehrt . eine leichtere Nennung "" schwarzer Schafe "" bei Skandalen geeinigt ."	B-LOC O O O O O O O O O O O O O O O O O
US-Präsident George W. Bush will das Regime dagegen mit neuen Strafmaßnahmen unter Druck setzen .	B-LOCpart B-PER I-PER I-PER O O O O O O O O O O O
"Dass sie darüber hinaus seine engsten Mitarbeiter in der Affäre um die politisch motivierte Entlassung von US-Bundesanwälten unter Eid vernehmen wollen , nennt er "" politische Hexenjagd "" ."	O O O O O O O O O O O O O O O O B-LOCpart O O O O O O O O O O O O
Vitamin D wird in der Haut durch Sonnenlicht gebildet , im Winter ist die Sonneneinstrahlung wegen der kurzen Tageslichtdauer besonders gering und Vitamin-D-Mangel mithin besonders wahrscheinlich .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
Seine Plattenverkäufe ziehen 1961 an ; zudem hatte er nun Copyright-Einkünfte aus bislang über 200 Kompositionen .	O O O O O O O O O O O O O O O O O
Dagegen wird bei festen Wechselkursen zwischen den Staaten ein festgelegter Kurs für den Währungsumtausch vereinbart .	O O O O O O O O O O O O O O O O
1962 kam es zur Übereignung der Klosterkirche durch den Staat an die Pfarrei Hausen .	O O O O O O O O O O O O O B-LOC O
Das hat einerseits zur Folge , dass mich der Bischof nicht einfach nach seinem Gutdünken versetzen kann ; andererseits kann er mich auch kaum schützen , wenn ich mit meinen Vorgesetzten oder mit den zuständigen Gremien in der Pfarrei in Konflikt gerate .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Aber Rechte bedeuten auch immer Pflichten .	O O O O O O O
Der Motorklang passt zum überzeugenden Fahreindruck : warmes Säuseln statt Diesel-Nageln .	O O O O O O O O O O B-PERpart O
Mit einem Ideal wird eine Vollkommenheit angestrebt .	O O O O O O O O
Dass man mit personenbezogenen Daten Geld verdienen könne , habe er bei seiner Arbeit in verschiedenen Callcentern festgestellt .	O O O O O O O O O O O O O O O O O O O
Etheridge hat bereits zwei Kinder aus einer früheren Verbindung mit Julie Cypher : Tochter Bailey Jean ( geboren 1997 ) und Sohn Beckett , der 1998 auf die Welt kam .	B-PER O O O O O O O O O B-PER I-PER O O B-PER I-PER O O O O O O B-PER O O O O O O O O
"Und auf "" normalen "" Eislaufbahnen herrscht oft Gedränge ."	O O O O O O O O O O
Architektur Die Villa liegt an der breiten Seite eines rechteckigen , auf allen Seiten von einem Säulengang umgebenen Hofs .	O O O O O O O O O O O O O O O O O O O O
Dünn besiedelt sind dagegen Atauro und Metinaro mit 11 bis 75 Einwohnern pro Quadratkilometer .	O O O O B-LOC O B-LOC O O O O O O O O
Der Gemeinderat hat der Schaffung einer Gemeindebibliothek zugestimmt .	O O O O O O O O O
Ausdauersportler finden im Paket Run ( knapp 60 Euro ) neben dem Tracker-Programm ein Sportarmband und ein Sportheadset von Sennheiser .	O O O O B-OTH O O O B-OTH O O O O O O O O O O B-ORG O
Der von Cassius Dio bezeugte Vorgang eines Schalttages ist zugleich der einzige Beleg eines Schaltmonats im Zusammenhang der Kalenderreform in unmittelbar zeitlicher Nähe zu Caesar .	O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O B-PER O
Die Familien müssen dafür oft zwischen 15 und 20 Prozent ihres verfügbaren Haushaltseinkommens aufbringen .	O O O O O O O O O O O O O O O
Daran nahmen auch Nachfahren der Familien Körner und Engelmann aus den US-Bundesstaaten Kalifornien , Maine und Michigan teil .	O O O O O O B-PER O B-PER O O B-LOCpart B-LOC O B-LOC O B-LOC O O
Durch die Ausrottung der Hyach-Do schadeten sich die Hyach allerdings selbst .	O O O O O O O O O O O O
Kayako will zwar ebenfalls bleiben , um Masami nicht zu verlieren , wird von dieser jedoch noch umgestimmt .	B-PER O O O O O O B-PER O O O O O O O O O O O
Tatsache ist aber auch : Wenn die anderen Rahmenbedingungen weitgehend bekannt sind , kommt es nachher sehr darauf an , zu welchen Bedingungen langfristig diese mittelständischen Unternehmen am Markt arbeiten können .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Ebenfalls wurde der nördliche Streckenast verlängert , und zwar zum nach Norden verlegten neuen Kniephafen .	O O O O O O O O O O O O O O O O
Die Enzyklopädisten feierten Vaucanson , weil durch ihn das menschliche Genie quasi Leben nachahmen konnte .	O O O B-PER O O O O O O O O O O O O
1831 entstand dann der erste ( und einzige ) Satz seiner Zwickauer Sinfonie , aber noch war der Schatten Beethovens und seiner neun Sinfonien zu lang , und so blieb das Werk liegen .	O O O O O O O O O O O B-OTH I-OTH O O O O O O B-PER O O O O O O O O O O O O O O
Dies ist problematisch , da die Existenz von Qualia vollkommen offensichtlich scheint .	O O O O O O O O O O O O O
Die spanische Kolonisation konnte jedoch nicht verhindert werden .	O B-LOCderiv O O O O O O O
Das hohe Niveau werde sich auch künftig nicht ändern , das gehe bereits jetzt aus den Bewerbungszahlen fürs neue Semester hervor .	O O O O O O O O O O O O O O O O O O O O O O
Der Altar , das Kruzifix , der Stuhl und die Kronleuchter , die nach der Rekonstruktion in die Kirche eingesetzt worden waren und für eine authentische Erscheinung einer ursprünglichen Stabkirche hatten sorgen sollen , wurden in den Nachkriegsjahren entfernt .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
In der Zeit der Apartheid wurden die Einteilungen der Demografie Südafrikas in besonderem Maße ideologisch instrumentalisiert , so dass es Schwierigkeiten bereitet , die Gesellschaft des Landes mit unvorbelasteten Begriffen zu beschreiben .	O O O O B-OTH O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O
Seine Pfoten sind weiß .	O O O O O
Damit , daß wir auf die Gründung einer eigenständigen Ortsgruppe verzichtet haben , wollten wir unsere Bereitschaft bekunden , mit dieser Gewerkschaft partnerschaftlich zusammenzuarbeiten .	O O O O O O O O O O O O O O O O O O O O O O O O O
Microsoft Office oder Internet Explorer ) als Service Packs heraus .	B-OTH I-OTH O B-OTH I-OTH O O O O O O
""" Diese Wahlen haben keinen Gewinner oder Verlierer , weil der einzige Gewinner die Demokratie und der größte Gewinner der Libanon ist "" , dämpfte der 39-jährige Saad Hariri sein siegreiches Lager ."	O O O O O O O O O O O O O O O O O O O O B-LOC O O O O O O B-PER I-PER O O O O
Die grüne EU-Abgeordnete Eva Lichtenberger hält die Zurückweisung der Direktive für richtig .	O B-ORGderiv B-ORGpart B-PER I-PER O O O O O O O O
Diese gilt auch für ihren Baumbestand .	O O O O O O O
Dies brachte mehrere Stimmlagenwechsel mit sich .	O O O O O O O
Neun Präsidenten hat die Bundesbank seit ihrer Gründung gehabt .	O O O O B-ORG O O O O O
Dies erkannten auch die Verantwortlichen und ordneten deshalb zwei Zwischenläufe mit je drei Booten an , die noch vor dem Finallauf am selben Tag ausgetragen werden sollten und von denen sich nur der Sieger für das Finale qualifizieren sollte .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Wie es zu dem Brand kommen konnte , ist noch unklar .	O O O O O O O O O O O O
Aus diesem Grund prüft die Heidelberger Studie nun , ob eine Fundoplikatio überhaupt angelegt werden muss , wenn ein Zwerchfellbruch mit einem Kunststoffnetz versorgt wird .	O O O O O B-LOCderiv O O O O O O O O O O O O O O O O O O O O
In ihrer Musik verarbeiteten sie New Wave-Einflüsse und den Sound der späten 70er .	O O O O O B-OTHpart I-OTHpart O O O O O O O
Dieser wird regelmäßig geleert und die Daten werden in eine Datenbank eingetragen .	O O O O O O O O O O O O O
Der Verschluss wurde durch einen modernen , elektronisch gesteuerten Metalllamellenverschluss ersetzt .	O O O O O O O O O O O O
Die Kommission bestand bis zum Ende der Besatzung , ihr Sitz wurde im November 1929 noch in ein Hotel nach Wiesbaden verlegt .	O O O O O O O O O O O O O O O O O O O O B-LOC O O
Rund 70 Demonstranten bewarfen zudem das Botschaftsgebäude mit Eiern .	O O O O O O O O O O
Erst 1946 wurde der Zoo mit aus dem Münchener Tierpark Hellabrunn entliehenen Tieren wieder eröffnet .	O O O O O O O O B-LOCderiv B-ORG I-ORG O O O O O
Wulff sei seit dem fliegenden Wechsel von seiner ersten Ehefrau Christiane zur deutlich jüngeren Bettina weniger politisch , dafür aber glamouröser .	B-PER O O O O O O O O O B-PER O O O B-PER O O O O O O O
Sie sind konsolenförmig und werden 10–20 cm groß .	O O O O O O O O O
Die letzte verbliebene Einmann-Personenfähre verbindet die Städte Bonn ( Stadtbezirk Beuel /Ortsteil Geislar ) und Troisdorf ( Ortsteil Bergheim ) miteinander .	O O O O O O O B-LOC O O B-LOC O B-LOC O O B-LOC O O B-LOC O O O
Nach Antragseingang klären die Leistungsträger untereinander die Zuständigkeit ab .	O O O O O O O O O O
Zu den Einheiten der Sondereinheit Baltikum stießen bald darauf auch noch das I. Geschwader am 28. Oktober und die IV.	O O O O O B-LOC O O O O O O O O O O O O O O
Ein zwischen Deutschland und Rumänien geschlossener Vertrag unterstellte das Gebiet rumänischer Verwaltung .	O O B-LOC O B-LOC O O O O O B-LOCderiv O O
Doch die Vogelscheuche hat einen Plan .	O O O O O O O
Den 13 Familien die dort wohnten , wurde auf Mai 1968 gekündigt .	O O O O O O O O O O O O O
Die Reservierung von TUI-Angeboten war als erstes möglich .	O O O B-ORGpart O O O O O
Für das Gericht war dies jedoch kein Beweis , dass der Mann tatsächlich Drähte angelötet hatte .	O O O O O O O O O O O O O O O O O
"Ihr neuer Name wurde Chūyō ( 冲鷹 , "" Hoch fliegender Falke "" ) ."	O O O O B-PER O B-PER O O O O O O O O
Drew Er ist der jüngere Bruder von Chris .	B-PER O O O O O O B-PER O
"Im November 2002 gründete er seine eigene Wrestling-Promotion , die "" Real Stars of Wrestling "" ."	O O O O O O O O O O O O O O O O O
Nach dem Schleifen der Befestigungsanlagen des Schlosses um 1780 verloren auch die umliegenden Schutzwälle an Bedeutung .	O O O O O O O O O O O O O O O O O
Zur Abrundung wurde die Rochester and Syracuse Direct Railroad ins Leben gerufen , die mit der Rochester and Syracuse im 6. August 1850 verschmolz .	O O O O B-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O B-ORG I-ORG I-ORG O O O O O O
Außerdem sei die Schrift auf den Etiketten meist so klein , dass man sie kaum entziffern könne .	O O O O O O O O O O O O O O O O O O
Die Intensität der Nutzlast hat einen stochastischen Charakter .	O O O O O O O O O
Soldat wurde er 1936 mit dem Dienstgrad eines Fahnenjunkers , wobei er als Angehöriger des Artillerie-Regiments 7 in München diente .	O O O O O O O O O O O O O O O O O O B-LOC O O
Das liegt an den unterschiedlichen Autorisierungsverfahren der Kreditkarten .	O O O O O O O O O
In Mittel- und Unterfranken gibt es noch das Fleischküchle , andernorts als Frikadelle bekannt .	O B-LOC O B-LOC O O O O O O O O O O O
Wird beispielsweise der Verkehr effizienter , verändern sich Siedlungsstrukturen , kleine Läden verschwinden und Einkaufszentren entstehen , was schließlich wieder zu einem bestimmten Verkehrsverhalten zwingt .	O O O O O O O O O O O O O O O O O O O O O O O O O O
Ein weiterer Extremfall wäre eine verbrauchte oder weit entladene Batterie , was die Situation weiter verschärfen würde .	O O O O O O O O O O O O O O O O O O
Im Interview erzählt sie , warum Athleten mit Behinderungen keine Sonderrolle benötigen ? auch nicht beim Kampf gegen Doping .	O O O O O O O O O O O O O O O O O O O O
Der Bereitschaftsdienst der Ärzte müsse ganz als Arbeitszeit gewertet werden .	O O O O O O O O O O O
Seine Sekretärin soll ihn als den Einzigen gelobt haben , der in der Bundesbank spare .	O O O O O O O O O O O O O B-ORG O O
Er interessierte sich dafür und erfuhr , dass diese jungen Männer aus der armenischen Minderheit in Ägypten waren und beim Al-Gomrak Club Alexandria trainierten .	O O O O O O O O O O O O O B-LOCderiv O O B-LOC O O O B-ORG I-ORG B-LOC O O
1950 gab es in den Orten der heutigen Gesamtgemeinde Ilsfeld 571 landwirtschaftliche Erwerbsbetriebe mit 1151 Beschäftigten sowie 217 Gewerbebetriebe mit 448 Beschäftigten .	O O O O O O O O O B-LOC O O O O O O O O O O O O O
Die Geschichte der Bundesdruckerei nach der privatisierung ist übrigens überaus wechselvoll . 2000 für 1 Milliarde verkauft , stand sie 2002 vor der Insolvenz und wurde für 1 EUR wieter verkauft .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-OTH O O O
So zerfällt der Film selbst in seine Elementarteilchen , die man allerdings nicht ohne Unterhaltungsgewinn Revue passieren lässt .	O O O O O O O O O O O O O O O O O O O
Geschichte Frühgeschichte Während der Kelten- und Römerzeit war das Gebiet der heutigen Gemeinde Ellwangen vermutlich nur schwach besiedelt .	O O O O B-OTH O B-LOCderiv O O O O O O B-LOC O O O O O
Bis zu seinem Tod bleibt der Gebissene bei vollem Bewusstsein , obwohl er für einen Beobachter einen schlafenden Eindruck macht .	O O O O O O O O O O O O O O O O O O O O O
In Studioumgebungen erfolgt die Synchronisation in der Regel durch einen extern erzeugten Studiotakt , Videosignale von Computern werden auf das zu bearbeitende externe Videosignal synchronisiert .	O O O O O O O O O O O O O O O O O O O O O O O O O O
Sie ist ein rein mathematischer Wert , der die theoretische Leistung eines Fernglases unter schlechten Lichtverhältnissen beschreibt .	O O O O O O O O O O O O O O O O O O
Lediglich in Bayern , Sachsen-Anhalt und Sachsen gab es einen Zuwachs an ABC-Schützen .	O O B-LOC O B-LOC O B-LOC O O O O O O O
Auf dem Weg zum Ausgang des Hotels läuft ihnen Pablo , einer der Griechen , über den Weg .	O O O O O O O O O B-PER O O O B-LOCderiv O O O O O
Es war verboten , in der Öffentlichkeit geistliche Tracht zu tragen .	O O O O O O O O O O O O
Auch von keinem der drei Mönche des Heimes wird er besucht .	O O O O O O O O O O O O
Auf der B 2 Richtung Groitzsch sei der Fahrer eines Lastwagens zu schnell gefahren und mit seinem Fahrzeug in einer Rechtskurve umgekippt , teilte die Polizeidirektion Westsachsen mit .	O O B-LOC I-LOC O B-LOC O O O O O O O O O O O O O O O O O O O O B-LOC O O
Wenn man am Samstag weggegangen ist , fiel es am Sonntag schon ab und zu schwer , so früh aufzustehen und in die Kirche zu gehen .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
Im Samdo Nong`ak Karak liegt der Schwerpunkt im Kontrastspiel zwischen den Gongs und den Trommeln .	O O O O O O O O O O O O O O O O
Während sich etwa die deutschen Werte fast gar nicht vom europäischen Durchschnitt unterscheiden , fallen die Schweizer durch größere Innovationsfreude auf .	O O O O B-LOCderiv O O O O O B-LOCderiv O O O O O B-LOCderiv O O O O O
Die Richter des Landgerichts Frankfurt ordneten deshalb am Freitag an , dass er dauerhaft in der Psychiatrie untergebracht wird .	O O O O B-LOC O O O O O O O O O O O O O O O
Mit dem Hoch setzten gleichzeitig Gewinnmitnahmen ein , welche einen Tiefpunkt bei genau 60,00 Euro zur Folge hatten .	O O O O O O O O O O O O O O B-OTH O O O O
Selbst ein halbes Jahr nach der Markteinführung scheint das Interesse am iPhone 4 ungebrochen zu sein .	O O O O O O O O O O O B-OTH I-OTH O O O O
"Cruise ist mittlerweile selbst ein hochrangiges Mitglied von Scientology und darf sich zu den "" ;Thetans & ldquo ; zählen , den geistigen Führern der Gemeinschaft ."	B-PER O O O O O O O B-ORG O O O O O O O O O O O O O O O O O O
"Und das hat bereits jetzt Auswirkungen auf manche Überschrift , wie die "" New York Times "" berichtet ."	O O O O O O O O O O O O O B-ORG I-ORG I-ORG O O O
Im April 1962 stand Conny Froboess abermals im Kölner Studio der Electrola , um das Lied in einer italienischen ( Un bacio all'italiana ) italienische Fassung und einer niederländischen Fassung ( Twee kleine Italianen ) niederländische Fassung aufzunehmen .	O O O O B-PER I-PER O O B-LOCderiv O O B-ORG O O O O O O B-LOCderiv O B-OTH I-OTH I-OTH O B-OTHderiv O O O B-LOCderiv O O B-OTH I-OTH I-OTH O B-LOCderiv O O O
Dort wurden an die Apotheke beim Deutschen Forum Medikamente an den dortigen Apotheker Sorin Platon verteilt .	O O O O O O B-LOCderiv O O O O O O B-PER I-PER O O
Bestandskunden mit alten Verträgen können ihren Tarif vorerst behalten .	O O O O O O O O O O
Es ist in ganz Deutschland und Teilen Europas relativ weit verbreitet .	O O O O B-LOC O O B-LOC O O O O
"Alles steht unter Wasser , viele Leute verlieren ihre Sachen , Dächer werden weggerissen und Häuser zerstört . """	O O O O O O O O O O O O O O O O O O O
Da wird der kleine Hügel , den man im Urlaub bestiegen hat , schnell zu einem Dreitausender .	O O O O O O O O O O O O O O O O O O
Einschränkungen vor verkaufsoffenen Sonntagen fallen auch weg .	O O O O O O O O
Inwieweit vielleicht Pfann und Klöckner im Rahmen des Pomologenvereines gemeinsam an dieser neuen Apfelsorte beteiligt waren , ist bisher nicht bekannt .	O O B-PER O B-PER O O O B-ORG O O O O O O O O O O O O O
Dadurch gerieten sie in Konflikt mit dem Grafen von Waldeck , der Rechte im benachbarten Dorf Nordenau besaß .	O O O O O O O O O B-LOC O O O O O O B-LOC O O
Als großes Sicherheitspolster für den Abschwung sieht Gallois die Finanzmittel von noch rund 9 Mrd . Euro .	O O O O O O O B-PER O O O O O O O O B-OTH O
3 ) In älteren Dokumentationen auch als BC 2 bezeichnet .	O O O O O O O O O O O
Immer mehr an Bedeutung gewinnt der Einsatz von LED -Lampen , diese finden den Einsatz sowohl als konventionelles Licht ( z.	O O O O O O O O O O O O O O O O O O O O O
Infield-Rennstrecke für die Formel 1 In den 1960ern wurde die Ziegelsteinoberfläche komplett durch Asphalt ersetzt bis auf einen drei Fuß ( ein Yard ) breiten Streifen an der Start- und Ziellinie , was dem Oval den Namen The Brickyard einbrachte .	O O O B-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-OTH I-OTH O O
Das freilich reicht vielen Nichtrauchern nicht .	O O O O O O O
Warten auf freie Bahn vor dem Anlauf Geschichte Der Speer ist eine der ältesten Jagdwaffen der Menschheit .	O O O O O O O O O O O O O O O O O O
Die Stadt müsse sparen , weil Leipzig 2011 mit 2,5 Millionen Euro weniger Landesmitteln rechnen muss .	O O O O O O B-LOC O O O O B-OTH O O O O O
Der soziale Status der Sprache bleibt aber niedrig , und ein baldiges Aussterben ist anzunehmen , zumal die heutigen Sprecher alle der älteren Generation angehören .	O O O O O O O O O O O O O O O O O O O O O O O O O O
Weil irgendjemand das Gerücht in die Welt gesetzt hat , die Ukraine habe die Salzlieferungen eingestellt .	O O O O O O O O O O O B-LOC O O O O O
"Die fünf Minuten , die er von der Sichtung bei Gilching bis zum Unfall gebraucht hat , deuten auf eine normale Geschwindigkeit hin "" ; , sagt Wartensleben ."	O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O B-PER O
Der Deutsche Turner-Bund ( DTB ) hatte angesichts der langen Verletzungspause von Olympia-Teilnehmerin Lisa Ingildeeva ( Schmiden ) auf einen EM-Start verzichtet und sich dafür im Vorfeld heftige Kritik des Stützpunktes in Schmiden anhören müssen .	O B-ORG I-ORG O B-ORG O O O O O O O B-ORGpart B-PER I-PER O B-LOC O O O O O O O O O O O O O O O B-LOC O O O
